Usuario;TagNick;DataPost;Texto;Comentarios;Likes;Retweets;Texto_Traduz;Classificação_Blob;percent_pos_blob;percent_neg_blob;Azure_Sentiment;Azure_percent_pos;Azure_percent_neg;Azure_percent_neutro;Classificacao_flair;percent_pos_flar;percent_neg_flar;Percent_Media_final;Class_final
Brasil das Maravilhas 1500;brdasmaravilhas;2022-11-23 23:34:17+00:00;"7 BOQUINHA PRO FROTA NÃO
BOQUINHA PRO FROTA NÃO
BOQUINHA PRO FROTA NÃO
BOQUINHA PRO FROTA NÃO
BOQUINHA PRO FROTA NÃO
BOQUINHA PRO FROTA NÃO
BOQUINHA PRO FROTA NÃO
BOQUINHA PRO FROTA NÃO
BOQUINHA PRO FROTA NÃO
BOQUINHA PRO FROTA NÃO
BOQUINHA PRO FROTA NÃO
BOQUINHA PRO FROTA NÃO";0;0;0;"7 BOQUINHA PRO FLEET NO
MOUTH PRO FLEET NO
MOUTH PRO FLEET NO
MOUTH PRO FLEET NO
MOUTH PRO FLEET NO
MOUTH PRO FLEET NO
MOUTH PRO FLEET NO
MOUTH PRO FLEET NO
MOUTH PRO FLEET NO
MOUTH PRO FLEET NO
MOUTH PRO FLEET NO
MOUTH PRO FLEET NO";pos;0.9146718146718152;0.0853281853281852;0;0.0;0.0;0.0;NEGATIVE;0.24180614948272705;0.758193850517273;0.19975487337675274;Negativo
MOSTRA SUA PICA BRASIL 🇧🇷;radicalizaesq;2022-11-23 23:34:17+00:00;"_ O de cima é pra garantir o lucro.
O de baixo é pra garantir a resenha depois da vitória do Brasil 🤪";0;0;0;"_ The top one is to guarantee the profit.
The bottom one is to guarantee the review after Brazil's victory 🤪";neg;0.4349959842148726;0.5650040157851296;positive;0.99;0.0;0.0;NEGATIVE;0.047565996646881104;0.9524340033531189;0.641446853929805;Neutro
Juan ˢᵖᶠᶜ;juanhcs1;2022-11-23 23:34:17+00:00;que amanhã o Brasil ganhe,minha felicidade vai depender de 11 maluco correndo atrás da bola...de novo;0;0;0;that tomorrow Brazil wins, my happiness will depend on 11 crazy people chasing the ball...again;pos;0.8115076483235587;0.1884923516764429;positive;0.77;0.02;0.21;NEGATIVE;0.0382838249206543;0.9617161750793457;0.5668678997378381;Neutro
flavio;flaviomeira12;2022-11-23 23:34:16+00:00; Só se for nos presídio ,pq nunca será presidente do Brasil;0;0;0;Only if you go to prison, because you will never be president of Brazil;pos;0.5489741921591103;0.4510258078408893;neutral;0.0;0.35;0.65;NEGATIVE;0.1308218240737915;0.8691781759262085;0.11580254861524189;Negativo
O🌪;ttdafariaas;2022-11-23 23:34:16+00:00;amanhã a escola inteira com a blusa do Brasil🙌🏻🙌🏻;0;0;0;tomorrow the whole school with the brazil blouse 🙌🏻🙌🏻;pos;0.5328477371390943;0.4671522628609067;positive;0.54;0.0;0.46;POSITIVE;0.6794620156288147;0.3205379843711853;0.5788245383423891;Neutro
Marcinha de modelar 🦁;MarcynhaSant;2022-11-23 23:34:15+00:00;Eu só queria uma blusa do Brasil;0;0;0;I just wanted a blouse from Brazil;neg;0.371212940346423;0.6287870596535773;neutral;0.03;0.07;0.9;NEGATIVE;0.0910443663597107;0.9089556336402893;0.09618595329512061;Negativo
GodoyBf2004;GodoyBf2004;2022-11-23 23:34:15+00:00;Amanhã, todo mundo com a camisa do Brasil na Escola. Vamo Brasil.;0;0;0;Tomorrow, everyone with the Brazil shirt at school. Let's go Brazil.;pos;0.6798966159889768;0.3201033840110239;neutral;0.13;0.01;0.86;POSITIVE;0.9876514673233032;0.012348532676696777;0.45359993580508334;Neutro
charles 🇧🇷;charlesftc;2022-11-23 23:34:15+00:00;"24841840  Pelo que eu vi o presidente do PL, mostrou as fraudes e apontou as irregularidades das urnas e disse que não espera que o TSE, faça novas eleições pois geraria um caos ao Brasil.
O TSE irá responder que o relatório e inconclusivo e que não houve fraude e nada acontecerá.";0;0;0;"24841840 From what I saw, the president of the PL, showed the frauds and pointed out the irregularities of the polls and said that he does not expect the TSE to hold new elections because it would create chaos in Brazil.
The TSE will respond that the report is inconclusive and that there was no fraud and nothing will happen.";pos;0.9891936854079576;0.0108063145920401;negative;0.0;1.0;0.0;NEGATIVE;0.0003396272659301758;0.9996603727340698;0.14141041999140255;Negativo
Ronir;Ronir05929010;2022-11-23 23:34:15+00:00; Você é de qual parte do Brasil, Josy?;0;0;0;Which part of Brazil are you from, Josy?;neg;0.4397177521492846;0.5602822478507148;neutral;0.0;0.0;1.0;NEGATIVE;0.152754545211792;0.847245454788208;0.1064609775104098;Negativo
eve irmã de nanda;elly_hxz;2022-11-23 23:34:15+00:00;acordar cedo e ir comprar uma bandeira grande do Brasil pra poder amarrar nas costas,elite dms;0;0;0;wake up early and go buy a big Brazilian flag so you can tie it on your back, elite dms;neg;0.2931839452722699;0.7068160547277297;neutral;0.48;0.02;0.51;POSITIVE;0.9989721775054932;0.001027822494506836;0.6015897571833223;Neutro
