Usuario;TagNick;DataPost;Texto;Comentarios;Likes;Retweets
Brasil das Maravilhas 1500;brdasmaravilhas;2022-11-23 23:34:17+00:00;"@KetyUS7 BOQUINHA PRO FROTA NÃO
BOQUINHA PRO FROTA NÃO
BOQUINHA PRO FROTA NÃO
BOQUINHA PRO FROTA NÃO
BOQUINHA PRO FROTA NÃO
BOQUINHA PRO FROTA NÃO
BOQUINHA PRO FROTA NÃO
BOQUINHA PRO FROTA NÃO
BOQUINHA PRO FROTA NÃO
BOQUINHA PRO FROTA NÃO
BOQUINHA PRO FROTA NÃO
BOQUINHA PRO FROTA NÃO";0;0;0
MOSTRA SUA PICA BRASIL 🇧🇷;radicalizaesq;2022-11-23 23:34:17+00:00;"@BrazOTricolor_ O de cima é pra garantir o lucro.
O de baixo é pra garantir a resenha depois da vitória do Brasil 🤪";0;0;0
Juan ˢᵖᶠᶜ;juanhcs1;2022-11-23 23:34:17+00:00;que amanhã o Brasil ganhe,minha felicidade vai depender de 11 maluco correndo atrás da bola...de novo;0;0;0
flavio;flaviomeira12;2022-11-23 23:34:16+00:00;@SigaGazetaBR Só se for nos presídio ,pq nunca será presidente do Brasil;0;0;0
O🌪;ttdafariaas;2022-11-23 23:34:16+00:00;amanhã a escola inteira com a blusa do Brasil🙌🏻🙌🏻;0;0;0
Marcinha de modelar 🦁;MarcynhaSant;2022-11-23 23:34:15+00:00;Eu só queria uma blusa do Brasil;0;0;0
GodoyBf2004;GodoyBf2004;2022-11-23 23:34:15+00:00;Amanhã, todo mundo com a camisa do Brasil na Escola. Vamo Brasil.;0;0;0
charles 🇧🇷;charlesftc;2022-11-23 23:34:15+00:00;"@LuizCor24841840 @kistrose Pelo que eu vi o presidente do PL, mostrou as fraudes e apontou as irregularidades das urnas e disse que não espera que o TSE, faça novas eleições pois geraria um caos ao Brasil.
O TSE irá responder que o relatório e inconclusivo e que não houve fraude e nada acontecerá.";0;0;0
Ronir;Ronir05929010;2022-11-23 23:34:15+00:00;@josiisilvabh Você é de qual parte do Brasil, Josy?;0;0;0
eve irmã de nanda;elly_hxz;2022-11-23 23:34:15+00:00;acordar cedo e ir comprar uma bandeira grande do Brasil pra poder amarrar nas costas,elite dms;0;0;0
